de,dsb
"Ganz gleich wie flach man einen Eierkuchen bäckt, er hat immer zwei Seiten.","Wšojadno kak płony mlinc pjacoš, wón ma pśecej dwa boka."
"Glaubt ihr, dass die Erderwärmung das Ergebnis menschlichen Handelns ist?","Měniśo, až jo wóśoplenje zemje wuslědk cłowjeskego jadnanja?"
"Franz hat eine Fünf im Religionsunterricht, daher betet er am Abend.","Franc ma pětku w nabóžninje, toś módli se wón wjacor."
"Es ist kein Geheimnis, dass Tom anderer Meinung ist als du.","Njejo žedne pótajmstwo, až jo Tom hynakšego měnjenja ako ty."
Das ist keine Drohung - das ist ein Versprechen!,To njejo žedno grozenje – to jo zlubjenje!
"Diese Partei ist stets bemüht, der Mittelklasse zu Diensten zu sein.","Toś ta strona jo se stawnje procowała, słužyś srjejźnej warstwje."
Streite dich nicht mit mir - ich bin schließlich deine Mutter!,Njewaź se ze mnu – slědkoju som twója mama!
"Wenn du deine Zugangsdaten vergessen hast, musst du dich erneut registrieren.","Gaž sy pśizjawjeńske daty zabył(a), maš se znowego registrěrowaś."
"Ein weiterer Vorteil für die Umwelt ist, dass Holz kaum Abfall verursacht.","Dalšna lěpšyna za wobswět jo, až drjewo zawinujo lěbda wótpadanki."
"Der Weihnachtsmann schneit heute so langsam, sagt Hanka zum Brüderchen.","Ruprajcht źinsa tak pómałem sněgujo, jo Hanka bratškoju groniła."
"Hast du alles geschafft, was du erledigen wolltest?","Sy wšykno wugbał, což sy kśěł zrědowaś?"
Sie hat sich bei ihrer Kollegin für den Irrtum entschuldigt.,Wóna jo se pla swójeje koleginy za mólenje zagroniła.
Das 50-jährige Bestehen des Sorbischen Kindertheaters haben die jungen Künstler gefeiert.,50-lětne wobstaśe Serbskego źiśecego źiwadła su młode wuměłce wóswěśili.
"Entschuldige, Konrad, ich wollte dich nicht so sehr stoßen.","Wódaj, Konrad, njejsom kśěł śi tak wjelgin starcyś."
Deutsche Zeitungen hetzten gegen ausländische Auftritte der Kulturgruppe.,Nimske casniki su šćuwali pśeśiwo wukrajnym wustupam kulturneje kupki.
"Der König, wenn er lacht, wischt keinem Minister den Kopf.","Kral, gaž se smjejo, žednomu ministroju głowu njetrějo."
"Noch einmal geht es in die Schule, dann ist Geschenkeabend.","Hyšći raz źo do šule, pótom jo darow wjacor."
"Das ist zwar ein weiter Weg, aber der erste Schritt ist vollbracht.","To źe jo daloka droga, ale prědna kšaceń jo zwónoźona."
Ich habe ihn in der Menschenmenge aus den Augen verloren.,Som jogo w kopicy luźi z wócowu zgubił.
"Zwei junge Menschen sind hier vorbei gegangen, ein Mädchen und ein Bursche.","Dwa młodej luźa stej how mimo šłej, źowćo a gólc."
"Er nahm die Mühe auf sich, mir das Buch zu senden.","Wón jo wzeł procu na se, mě knigły pśipósłaś."
"Tom sagte, dass wir ohne ihn starten können.","Tom groni, až móžomy bźez njogo startowaś."
Es gibt kaum mobile Bestellsysteme oder digitale Angebote.,Su lěbda mobilne skazańske systemy abo digitalne pórucenja.
Das Wetter kann sich stets von einem Tag auf den anderen verändern.,Wjedro móžo se stawnje wót jadnogo dnja na drugi změniś.
Tom und Maria geben sich zum Teil selbst die Schuld.,Tom a Marija dajotej se pó źělach samej winu.
"Tom will den Sonnenuntergang sehen, deshalb ist er jetzt am Strand.","Tom co chowanje słyńca wiźeś, togodla jo něnto na pśibrjogu."
Tom hätte das ohne eure Hilfe nicht geschafft.,Tom njeby to zwónoźeł bźez wašeje pomocy.
Neben der deutschen Gebärdensprache gibt es weltweit viele weitere Sprachen.,Mimo nimskeje gestikulaciskeje rěcy dajo pó cełem swěśe wjele dalšnych rěcow.
"Ich schlage vor, du sagst uns alles, was du über Tom weißt.","Naraźujom, ty nam wšykno groniš, což wó Tomje wěš."
Nach Ankunft am Flughafen rief er seine Frau an.,Pó pśichaźe na lětanišću jo wón swóju žeńsku zawołał.
"Ich erinnere mich nicht, diese SMS gesendet zu haben.","Njedopominam se, až toś te SMSy wótpósłaś dejał."
"Erst durch Lesen lernt man, wieviel man ungelesen lassen kann.","Akle pśez cytanje nawuknjoš, wjele móžoš wóstajiś njecytanego."
"Solltest du deine Meinung ändern, lass es mich wissen.","Gaby dejał změniś měnjenje, daj mě to k wěsći."
"Es ist menschlich, Übersetzungs- und Flüchtigkeitsfehler zu machen.","Jo to cłowjeski, cyniś pśestajaŕske a chwatnostne zmólki."
Bis zu hundert Kilogramm konnten die urzeitlichen Hyänen wiegen.,Až do sto kilogramow su mógali prawěkowne hyeny wažyś.
Er gilt als ausgezeichneter Prediger und guter Übersetzer von Kirchenliedern.,Wón płaśi ako wurědny prjatkowaŕ a dobry pśełožowaŕ kjarližow.
Mit einem Mal wurde ihr Gemüt von traurigen Gefühlen überflutet.,Naraz bu jeje duša z tužnymi zacuśami pówóźona.
"Ich habe einige Überstunden, siehe Abrechnung für September.","Mam někotare nadgóźiny, glej wótlicenje za september."
Auch Kinder bezog der Sokoł in seine Bewegung ein.,Teke źiśi jo Sokoł zapśěgnuł do swójogo gibanja.
"Es tut mir wirklich leid, Ihnen das sagen zu müssen.","Jo mě napšawdu luto, Wam to groniś musyś."
"Warum braucht man so lange, um das Salz in den Streuer zu füllen?","Cogodla tak dłujko trjebaš, aby sol do sypaka napołnił?"
Ich will im nächsten Monat mit meinem Freund nach Hokkaidō.,Cu pśiducy mjasec ze swójim pśijaśelom na Hokkaidō.
Unter diesen Umständen werden wir kein Haus kaufen können.,Pód toś tymi wobstojnosćami njebuźomy móc sebje žeden dom kupiś.
Warum isst du heute Abend nicht mit mir das Abendbrot?,Cogodla njejěš źinsa wjacor ze mnu wjacerju?
"Manchmal ist es sehr schwierig, seine Idee verständlich zu machen.","Wótergi jo wjelgin śěžko, swóju mysl jasnje zwurazniś."
"Lauf schnell, es ist ganz einfach, den Weg nach Hause zu finden.","Žeń malsnje, jo ceło jadnorje, namakaś drogu domoj."
"Mach die Vorhänge zu, damit die Nachbarn nicht reinschauen können.","Zacyń zapowjeski, aby susedy njemógali nutś glědaś."
Eine Praxis ohne Theorie nützt mehr als eine Theorie ohne Praxis.,Praksa bźez teorije pomoga wěcej ako teorija bźez prakse.
Blauwale sind bis zu 30 Meter lang.,Módre wjelryby su až do 30 metrow dłujke.
Denn in dieser Zeit kann der Blutdruck stark absinken.,Pśeto w tom casu móžo kšejny śišć kradu spadnuś.
Die maximale Kabellänge eines Segments beträgt 90 Meter.,Maksimalna dłujkosć kablowego segmenta wunjaso 90 metrow.
"Ich hatte nie vor, ein professioneller Übersetzer zu werden.","Njejsom měł žednje wótglěd, byś profesionalny pśełožowaŕ."
Bowie wird besonders oft auch das Chamäleon der Popmusik genannt.,Bowieja pomjenjuju wósebnje cesto teke chameleona popoweje muziki.
"Wenn der Fahrstuhl nach oben fährt, bewegt sich das Gegengewicht nach unten.","Gaž lift górjej jěźo, pógibujo se napśeśiwna waga dołoj."
Tom hielt Maria die schwere Waffe an den roten Kopf.,Tom jo źaržał Mariji śěžku bróń na cerwjenu głowu.
"Rom ist gut, aber zu weit entfernt von unserem Haus.","Rom jo dobry, ale pśedaloko wót našogo domu."
"Stört es dich, wenn ich das Fenster aufmache und das Zimmer lüfte?","Móli tebje, gaž wócynijom wokno a pśewětšyjom śpu?"
"Die Brigade muss wieder singen, ich will mit den Jugendlichen wieder singen.","Brigada dej zasej spiwaś, ja cu z młodostnymi zasej spiwaś."
"Es dauerte nicht lange, bis er zum Professor ernannt wurde.","Njejo dłujko trało, až su jogo pomjenili na profesora."
In Marias Garten gibt es eine reizende Holzhütte.,W Marijinej zagroźe jo rědna drjewjana budka.
"Ebenso wichtig ist, dass du den Stock richtig hältst.","Rowno tak wažne jo, až źaržyš kij pšawje."
"Bevor er den Weg um das Gebäude erforscht hat, ist er durchnässt.","Nježli jo wuslěźił drogu wokoło twari, jo pśemokany."
Das ist auf dem Fußballplatz genauso wie im richtigen Leben.,To jo na grajnišću rowno tak ako w pšawem žywjenju.
Er winkte sich seinen jüngeren Bruder zu sich.,Wón jo se kiwnuł swójogo młodšego bratša k se.
"Aus Furcht vor der Reaktion wagte es niemand, Kritik an Maria zu üben.","Ze tšachom pśed reakciju njejo se nichten zwěrił, Mariju kritizěrowaś."
Franz hatte auch die unschuldigsten Augen von uns allen.,Franc jo měł teke nejwěcej njewinowate wócy z nas wšyknych.
Zunehmend stärker in den Mittelpunkt rückt das altersgerechte Wohnen.,Źeń a wěcej do srjejźišća sunjo se starstwje wótpowědne bydlenje.
"Der Esel meinte, dass er von allen Tieren der Schlauste ist.","Wósoł jo měnił, až jo wón ze wšyknych zwěrjetow nejmudrjejšy."
"Das kann man nicht wissen, das kann man nur spüren.","To njamóžoš wěźeś, to móžoš jano zacuwaś."
Japan versucht Maßnahmen gegen die überalternde Gesellschaft zu finden.,Japańska wopytajo napšawy pśeśiwo pśestarjetej towarišnosći namakaś.
"Hat dir noch niemand gesagt, dass du zwei linke Hände hast?","Njejo śi hyšći nichten gronił, až maš dwě lěwej ruce?"
"Meine größte Angst ist, dass die Situation kippt.","Mój nejwětšy tšach jo, až se situacija se změnijo."
Er entfernte den Schutt und die beschädigten Mauern.,Wón jo wótpórał rozbitki a wobškóźone murje.
Geht in dem Song ins Detail und schreibt eure Gedanken auf.,Źiśo w songu do detaila a napišćo waše mysli.
Unweit ihrer Arbeitsstelle erschien eine mächtige Bärin mit einem Jungen.,Blisko jich źěłowego městna jo se pokazała mócna mjadwjeźica z młodym.
"Er wird Ihnen alles besorgen, was Sie brauchen.","Wón buźo Wam wšykno wobstaraś, což trjebaśo."
Sie hat immer etwas an ihrem Mann auszusetzen.,Wóna ma pśecej něco wustajaś na swójom cłowjeku.
"Die Menschen sind schlecht, und es sieht nicht so aus, als würden sie sich bessern.","Luźe su špatne, a njewuglěda tak, ako by se pólěpšyli."
Aber die Schweine lassen sich nicht von den Worten Krabats beruhigen.,Ale swinje njedaju se změrowaś wót słowow Krabata.
"Ich weiß nicht, wie er an meine Telefonnummer gekommen ist.","Njewěm, kak jo na mój telefonowy numer pśišeł."
"Wir suchen Brennholz, aber der Wald ist wie leergefegt.","Pytamy palne drjewo, ale góla jo hejnak wumjeśona."
"Weshalb aufräumen, ich will doch nur sehen, wie es mit dem Lernen läuft.","Cogodla zrumowaś, cu ga jano wiźeś, kak běžy z wuknjenim."
"Dich mag sie hinters Licht geführt haben, bei mir gelingt ihr das aber nicht!","Tebje móžo toriś, ale pśi mnjo se jej to njeraźijo!"
Er nutzte ihre Abwesenheit aus und attackierte sie in scharfer Weise.,Jo wužył jeje njepśibytnosć a nadpadowašo ju na surowu wašnju.
Die Stiftung macht sich in der Öffentlichkeit durch ein eigenes Signet kenntlich.,Załožba prezentěrujo se w zjawnosći ze swójskim signetom.
Am Sonntag musst du auf der Autobahn mit Stau rechnen.,Njeźelu dejš na awtodroze licyś z zatykaneju drogu.
"Erwartest du wirklich von mir, dass ich alles glaube?","Wócakujoš napšawdu wóte mnjo, až wěrim wšykno?"
"„Zeig einmal ein schönes Flugzeug!“, ruft die Trainerin plötzlich.","„Pokaž raz rědne lětadło!“, woła trenaŕka naraz."
"Ich habe versucht, etwas zu tun, doch ohne Erfolg.","Som wopytał, něco cyniś, ale mimo wuspěcha."
CO2 hat viel mit dem so genannten Treibhauseffekt zu tun.,CO2 ma wjele cyniś z tak pomjenjonym grějnicowym efektom.
Der Mann taub und die Frau stumm gibt die besten Ehen.,Muski głuchy a žeńska nima dawa nejlěpše manźelstwa.
Im Jahre 2020 ist das Bildwörterbuch auch in Niedersorbisch erschienen.,W lěśe 2020 jo wobrazowy słownik wujšeł teke w dolnoserbšćinje.
Tom stand auf einem verlassenen Bahnhof alleine unter einer großen Uhr.,Tom jo stojał na spušćonem dwórnišću sam pód wjelikim zegerom.
Diese Geschichten wurden von Generation zu Generation weitererzählt.,Toś te tšojeńka su se dalej wulicowali wót generacije ku generaciji.
"Obwohl es nie britische Kolonie war, gehört Ruanda dem Commonwealth an.","Lěcrownož njejo žednje britiska kolonija była, pśisłuša Ruanda Commonwealtheju."
Er hörte eine Nachricht wie eine chinesische Predigt.,Wón jo słuchał jadnu powěsć ako jadno chinske prjatkowanje.
Kein Kind hat Angst oder wird auch nicht ausgeschlossen.,Žedno góle se njebój abo se teke njewuzamkujo.
"Tom ging an Maria vorbei, ohne sie überhaupt zu bemerken.","Tom jo pla Marije mimo šeł, bźez togo až ju zewšym zawupytnuł."
Die Führerin und der Fahrer verständigen sich blitzschnell per Handy.,Wjednica a šofer dorozmějotej se malsnje ako błysk pśez handy.
"Es gibt wahrscheinlich keine Sprache, die gar keine Lehnwörter hat.","Njejo nejskerjej žedneje rěcy, kótaraž njama zewšym žednych póžyconkow."
"Es gibt da etwas Wichtiges, was ich dir sagen will.","Jo tam něco wažnego, což cu śi groniś."
"Ich bin nicht zu jung, ich bin 127 Jahre, 2 Monate und 22 Tage!","Njejsom pśemłoda, som 127 lět, 2 mjaseca a 22 dnjow!"
Welche Produkte stellen Sie hier in der Hoyerswerdaer Lausitzer Ölmühle noch her?,Kótare produkty zgótujośo how we wórjejcańskej Łužyskej wólejnicy hyšći?
"Sie gingen mit der Begründung, dass es in Hannover langweilig sei.","Wóni su šli z wobtwarźenim, až w Hannoveru jo wóstudne."
Ich werde einmal das Geschäft meines Vaters übernehmen müssen.,Budu raz dejaś pśewześ wobchod swójogo nana.
Dort begrüßte sie der Leiter der Sommerschule Dr. Fabian Kaulfürst.,Tam jo jich wuwitał nawjedowaŕ lěśojskeje šule dr. Fabian Kaulfürst.
Die Datenspeicherung erfolgt auf Grundlage der Paragrafen.,Składowanje datow pśewjeźo se na zakłaźe paragrafow.
Sie ist völlig mit ihrer neuen Arbeit zufrieden.,Wóna jo dopołnje ze swójim nowym źěłom spokojom.
"Vergeblich versuchte er, sie von seiner Unschuld zu überzeugen.",Pódermo jo wopytał ju wó swójej njewinowatosći pśeznaniś.
Jede Sorte von ihnen hat einen eigenen Geschmack und ein eigenes Aussehen.,Kužda družyna z nich ma swójski słod a swójski naglěd.
Wann werden wir endlich eine eingehende Debatte in diesem Hause haben?,Gdy změjomy skóńcnje nadrobnu debatu w toś tom domje?
Gelernt habe ich das Schneiderhandwerk und arbeitete illegal als Einzelhandelskaufmann.,Som nawuknuł šlodaŕstwo a źěłał ilegalnje ako pśekupc za drobne wikowanje.
Warum verlangt ihr so etwas von einem Anfänger?,Cogodla se pominaśo take něco wót zachopjeńkarja?
Die Windstärke wird mit Hilfe von Zahlen angezeigt.,Malsnosć wětša pódawa se z pomocu licbow.
"Glaubst du, dass dreieckige Hüte bald wieder modern werden?","Měniš, až budu tśirožkate kłobyki skóro zasej nacasne?"
"Schnelles Laufen ist keine Garantie, das Ziel zu erreichen.","Malsne běganje njejo garantija, cel dojśpiś."
Meine Gedichte handeln fast ausschließlich vom Meer und der Schifffahrt.,Móje basni jadnaju pśisamem bźeze wuwześa wó mórju a łoźnistwje.
"Unter dem Kreuz ist zu sehen, wie ein Hirsch gegen eine Schlange kämpft.","Pód kśicu jo wiźeś, kak wójujo jeleń pśeśiwo wužoju."
"Manchem Glück möchte man, da es ziemlich flatterhaft ist, prophylaktisch Baldrian verordnen.","Někotarejužkuli gluce coš, dokulaž jo bejnje njestatna, profylaktiski baldrian wukazaś."
"Möge es ein gesundes, friedliches und mit schönen Dingen gefülltes Jahr sein.","Daś jo strowe, měrne a z rědnymi wěcami połnjone lěto."
Frauen wie Cathy und Anna haben eigene Karrieren aufgebaut.,Žeńske ako Cathy a Anna su natwarili swójske karjery.
"Wenn Sie gesund leben wollen, müssen Sie gesund essen.","Cośo-lic strowe žywe byś, dejśo se strowje zežywiś."
"Wenn mir heiß ist, erfrischt mich ein Glas kaltes Wasser sehr.","Gaž jo mě góruco, wochłoźijo mě głažk zymneje wódy."
"Sie probierte den Kuchen, um zu sehen, ob er süß genug sei.","Wóna jo wopytała tykańc, aby wiźeła, lěc jo słodki dosć."
"Das ist ein Rufterz, suche alle Rufterzen heraus!","To jo wołańska terca, wupytaj wšykne wołańske terce!"
"Wer Rosen will, den werden die Dornen stechen.","Chtož co rože, togo budu śernje štapaś."
"Dumme rennen, Weise warten, Kluge gehen in den Garten, um sich zu erholen.","Głupe běže, wucone cakaju, mudre du do gumna, aby wódychnuli."
Als zusätzliche Maßnahmen sollen mobile Allgemeinarztpraxen entstehen.,Ako pśidatne napšawy maju nastaś mobilne powšykne medicinske prakse.
Folglich entschied sich der Kunde für die zweite Entwurfsvariante.,Pótakem rozsuźijo se kupowaŕ za drugu wariantu pśedłogi.
"Mein Herz fühlt italienisch, mein Hirn denkt deutsch.","Mója wutšoba zacuwa italski, móje mórzgi nimski mysle."
"Er hatte zwei Söhne, die beide Lehrer wurden.","Wón jo měł dweju synowu, kótarejž stej byłej wobej wucabnika."
Tom und Maria sind populärer als Bill und Hillary Clinton.,Tom a Marija stej popularnjejšej nježli Bill a Hillary Clinton.
Die Vorlesungen des alten Professors sind langatmig und schleppend.,Cytanja starego profesora su pśewobšyrne a wlacate.
"Der Morgenstern ist eine Schlagwaffe, die im Mittelalter gebräuchlich war.","Morgenštern jo biśowa broń, kótaraž jo była w srjejźowěku nałog."
Sie schifften sich in Southampton nach New York ein.,Wóni su stupili na łoź w Southamptonje do New Yorka.
Kundenkontakt und Verdachtsfälle bilden eine Einheit.,Kontakt ku kupcam a suspektne pady twóritej jadnotku.
"Die Maschine versagte, weil er sie nicht richtig gewartet hat.","Mašina njejo docyniła, dokulaž njejo ju pšawje glědał."
"Dabei läuft Valentine einmal schneller, dann wieder langsamer.","Pśi tom Valentine raz malsnjej šuflitujo, pótom zasej pómałem."
"Wenn ich genug Geld dabeigehabt hätte, hätte ich dieses Ding gekauft.","Gaby dosć pjenjez pśi sebje měł, by tu wěc kupił."
Donald Trump wurde zum Präsidenten der Vereinigten Staaten gewählt.,Donald Trump bu wuzwólony na prezidenta Zjadnośonych statow.
"Wenn das der Fall ist, ist er nicht in der Lage zu zahlen.","Gaž jo to tak, ga njejo wón zamóžny płaśiś."
Viele Menschen verloren durch das Erdbeben ihr Zuhause.,Wjele luźi jo pśez zemjerdžanje zgubiło swójo doma.
"Zaubere, was auf der letzten Seite im Zauberbuch steht.","Gusluj, což stoj na slědnem boce w guslowaŕskich knigłach."
"Ganz einfach, ich will deinen Hund nicht in meinem Haus.","Kradu jadnorje, njok twójogo psa w mójom domje."
Tom zeigte seinen Freunden und seiner Familie seine jüngsten Urlaubsbilder.,Tom jo swójim pśijaśelam a swójej familiji pokazał swóje nejnowše dowolowe wobraze.
In meinem Heimatort gibt es noch den Beruf Kettenschmied.,W mójej rodnej jsy dajo hyšći pówołanja rjeśazarja.
Zugleich wird das Info-Blatt im Bautzener Haus der Sorben ausgelegt.,Zrownju wupołožyju informaciske łopjeno w Budyšyńskem Serbskem domje.
Die Mächtige und der Niedere sind in jedem Fall gleichgeachtet.,Mócna a niska stej w kuždem paźe jadnak cesćonej.
In Bayern trinkt man jetzt am liebsten Weißbier.,W Bayerskej piju něnto nejlubjej běłe piwo.
Wollen Sie mit ihrer Kunst der Gesellschaft einen Spiegel vorhalten?,Cośo ze swójim wuměłstwom towarišnosći glědałko pśed wócy źaržaś?
"Ich hoffe, Vater kommt bald aus dem Ausland zurück.","Naźejam se, nan se skóro wrośijo z wukraja."
Doch der Fluss hatte selbst nicht mehr genug Wasser für alle.,Tola rěka njejo měła sama južo dosć wódy za wšych.
"Wer einen Paten hat, stirbt nicht als Heide.","Chtož ma kmótša, njewumrějo ako tatań."
"Das hier ist der Mann, dessen Tochter du gestern getroffen hast.","To jo muski, kótaregož źowku sy cora zmakała."
"Der Rest ist Sache der Mitgliedstaaten, welche dafür verantwortlich sind.","Zbytk jo wěc cłonkojskich statow, ako maju to zagroniś."
Dann erst wird das ein sehr wundervolles Sommerkonzert.,Pón  akle buźo to wjelgin wjelicny lětny koncert.
"Tom hörte einen Augenblick lang hin, konnte aber nichts hören.","Tom jo pósłuchał wokognuśe, njejo pak mógał nic słyšaś."
Dieses Arbeitsblatt wurde dem Paket schon einmal hinzugefügt.,Toś to źěłowe łopjeno jo se pakśikoju južo raz pśidało.
Sie beschweren sich oft über die Lebenshaltungskosten in Tokio.,Wóni skjarže cesto na kostach za žywjenje w Tokiju.
"Das kann man zwar begreifen, sich aber nicht vorstellen.","To móžoš drje wopśimjeś, ale sebje nic pśedstajiś."
Ich würde lieber kein Fleisch von einem geklonten Tier essen.,Ja lubjej njeby jědł měso klonowanego zwěrjeśa.
Warum wird es seit zwei Tagen immer heißer?,Cogodla jo wót dweju dnjowu sem stawnje górucej?
Wollen sie die Entwicklung des Parks mit einer kleinen Spende unterstützen?,Cośo wy wuwiśe parka z małym darom pódpěrowaś?
Robert Smith ist der Sänger der Gruppe The Cure.,Robert Smith jo spiwaŕ kupki The Cure.
"Ich wünschte, ich könnte so gut schreiben wie Tom.","Žycym sebje, až mógał tak derje pisaś ako Tom."
Sind die im Lied beschrieben Maschinen auch heute noch notwendig?,Su w spiwje wopisane mašiny tek źinsa hyšći trjebne?
Tom und Maria verkleideten sich beide als Eichhörnchen.,Tom a Marija stej se pśewoblakłej ako njewjericka.
"Er ist zu schüchtern, um Mädchen anzusprechen.","Wón jo pśeliš tšašywy, aby se na źowća wobrośił."
Hier erlebten wir die Rezitation eines kurzen Gedichtes durch eine Schülerin oder einen Schüler.,How smy dožywili recitaciju krotkeje basni pśez wuknicu abo wuknika.
Und in Deutschland sieht es zeitweise nach öffentlicher Denunziation aus.,A w Nimskej wuglědajo casy za zjawnej denunciaciju.
"Du musst einfach nur machen, was man dir sagt.","Musyš jadnorje jano cyniś, což se śi groni."
"Gott grüßt alle Welt, aber wenige danken ihm.","Bog póstrowijo wšen swět, ale mało se jomu źěkuju."
Die Spinne krabbelte mit ihren langen Beinen über die Bananen.,Pawk jo ze swójimi dłujkimi nogami lězł pśez banany.
Das hat ein Gericht in Sydney heute angeordnet.,To jo sudnistwo w Sydneyju źinsa wukazało.
Ein Artikel über unsere Schule ist in der Zeitung aufgetaucht.,Artikel wó našej šuli jo w casniku wujšeł.
"Die Hände formen die Gegenstände und Handlungen, die wir darstellen wollen.","Ruce formujotej pśedmjaty a jadnanja, kótarež comy zwobrazniś."
"Fällt im Februar kein Regen, kann es ihn zu Ostern geben.","Njepadnjo-li w februarje žeden dešć, buźo jogo k jatšam."
Hier hörte man nur das Rauschen des Windes in den buschigen Fichten.,How słyšyš jano šumjenje wětša w krickatych škrjokach.
"Wir leben in dieser Welt, solange wir sie lieben.","Smy w toś tom swěśe žywe, tak dłujko ako jen lubujomy."
Der Ruhm vieler Propheten beruht auf dem schlechten Gedächtnis ihrer Zuhörer.,Sława wjele profetow bazěrujo na špatnem spomnjeśu jich pśisłucharjow.
"Ihr könnt euch nicht vorstellen, wie sehr ich das zu schätzen weiß!","Njamóžośo se pśedstajiś, kak wjelgin sebje to wažym!"
"So läuten die Glocken: Seid willkommen Gäste aus der Ferne, Herzlich willkommen!","Tak zwóny zwónje: Witajśo gósći zdaloka, witajśo k nam!"
"Der einzige Wermutstropfen war, dass es nicht genug Bier gab.","Jadnučka chrapka połyna jo była, až njejo dosć piwa dało."
"Das Altertümliche und das Moderne, die Vergangenheit und die Zukunft sind alle eins.","Starobytne a moderne, zachadnosć a pśichod su wšykno jadne."
"Seiner Frau blieb nur die Scheidung, wollte sie dem Leid entgehen.","Jogo žeńskej jo zwóstało jano rozwjeźenje, jo-li kśěła wuběgnuś śerpjenju."
"So ist also das Ende, dachte er sich, schon im Delirium.","Taki jo pótakem kóńc, jo se myslił, južo w deliriju."
"Ich hoffe, dein Aufenthalt in Boston hat dir gefallen.","Naźejam se, twójo pśebywanje w Bostonje jo se śi spódobało."
Tom öffnete die Tür und hielt sie offen für Maria.,Tom jo wótcynił źurja a jo wótwórjone za Mariju źaržał.
"Ich will, dass sie heute die schwierige Arbeit für mich macht.","Cu, až wóna źinsa śěžke źěło za mnjo cyni."
"Die Eule, die ziemlich klein war, landete neben ihr.","Sowa, kótaraž jo była mała, jo pśizemjeła pódla njeje."
Vielleicht bereitest du erst einmal etwas anderes als Geschenk vor.,Snaź pśigótujoš nejpjerwjej raz něco druge ako dar.
Der Arme kennt seine Verwandten besser als der Reiche.,Chudy znajo swójich pśiswójźbnych lěpjej nježli bogaty.
"Wir wissen, dass Tom in jener Nacht bei dir war.","Wěmy, až jo Tom we wónej nocy pla tebje był."
Bilinguale Pop-up Akademie: Sorbische Sprache und Kultur leben.,Bilingualna pop-up akademija: serbsku rěc a kulturu žywa byś.
"Ich möchte nicht ausfallen, denn ich muss ja die Konzeption für das Amt fertigstellen.","Njok wupadnuś, pśeto ga musym koncepciju za amt dokóńcyś."
"Er beschloss, statt sinnlos zu trinken, entsetzliche Kunstwerke zu schaffen.","Wón jo wobzamknuł, město bźezrozynego piśa, tšašne wuměłske twóŕby stwóriś."
Im Winter bin ich oft in den Alpen Ski fahren gegangen.,W zymje som cesto w Alpach sněgakowaś šeł.
"Du musst dich nicht dafür entschuldigen, dass du leidenschaftlich bist.","Njetrjebaš se za to zagroniś, až sy tak rozwólny."
Ob er von der Bedeutung und Zukunft dieser Entdeckung träumte?,Lěc jo se jomu cowało wó wuznamje a pśichoźe toś togo wótkšyśa?
Und ich will auch überhaupt nicht nur schlimme Dinge tun!,A ja to tek zewšym njekśěł jano złe wěcy gótowaś!
Oft finden vier oder fünf Vorträge gleichzeitig statt.,Cesto wótměwa se rownocasnje styri abo pěś pśednoskow.
"Als sie die traurige Nachricht hörte, wurde sie ganz blass.","Ako jo tužnu powěsć słyšała, jo se kradu zblědnuła."
"Lass mich das wenige Geld, das ich bei mir habe, spenden.","Daj mě te mało pjenjez, kótarež mam pśi mnjo, pósćiś."
Die Alpen nehmen fast siebzig Prozent Österreichs ein.,Alpy zabjeru pśisamem sedymźaset procentow Awstriskeje.
"Die Barmherzigkeit ist eine Eigenschaft des menschlichen Charakters, das ist allgemein bekannt.","Zmilnosć jo kakosć cłowjeskego charaktera, to jo powšyknje znate."
Er aß alles allein auf und ließ die anderen zusehen.,Wón jo wšykno sam zjědł a dajo drugim pśiglědowaś.
Hier ist der Bassist mehr herausgefordert als in den meisten anderen Stilistiken.,How jo basist wěcej wupominany nježlic w nejwěcej drugich stilistikach.
So lernen bzw. lernten sie auch nicht zu lesen und zu schreiben.,Tak njenawuknu resp. njejsu wóni teke nawuknuli cytaś a pisaś.
Sie dürfen sich nicht zu sehr auf die äußere Erscheinung verlassen.,Njesmějośo se pśeliš na wenkownu pódobu spušćiś.
"Ich gab dem Bettler alles Geld, das ich hatte.","Ja som dał pšosarjeju wše pjenjeze, kenž som měł."
Oft übernehmen die herrschenden Klassen als Erste die Mundart des Eroberers.,Cesto pśewzeju kněžece klase ako prědne pódrěc dobyśarja.
Hast du denn nicht mehr dein dickes Zauberbuch?,Njamaš ga wěcej twóje tłuste guslowaŕske knigły?
Ihre Schulbildung war im Vergleich zu unserer ziemlich bescheiden.,Jich šulske kubłanje jo było w pśirownanju z našym kradu pokorne.
Marko setzt sich unter die breiten Äste der riesigen Fichte.,Marko se sednjo do kokaca pód šyroke gałuzy wjelickego škrjoka.
Schöpfungsgeschichte steht für biblische Erzählung von der Erschaffung der Welt.,Tšojenje wó stwórjenju swěta stoj za bibliske tšojenje wó stwórjenju swěta.
"Zum Beispiel eine Geschichte, welche alles Wesentliche beinhaltet.","Na pśikład tšojenje, kótarež wopśimjejo wšo bytostne."
"Ein Problem, das sich auch später in der Schule fortsetzt.","Problem, kótaryž teke pózdźej w šuli dalej pókšacujo."
Zu deren Inhalt wollte sich der Kommunalpolitiker jedoch nicht äußern.,Wó jogo wopśimjeśu pak njejo kśěł se komunalny politikaŕ wugroniś.
