de,hsb
"Er war kein Querkopf, aber ein unabhängiger Kopf.","Wón njebě žana prěkula, ale njewotwisna hłowa."
Dein Handy funktioniert im Winter nicht?,Twój handy w zymje njefunguje?
"Im Frühling habe ich geholfen, die Blumen im Weihnachtswald zu pflegen.","W nalěću sym pomhała, kwětki w hodownym lěsu hladać."
"Die Schweine arbeiteten nicht im eigentlichen Sinne, sie dirigierten und überwachten vielmehr die übrigen.","Swinje njedźěłachu w poprawnym zmysle, dirigowachu a dohladowachu skerje zbytnych."
"Unter der Bevölkerung aber wurde weiter gesagt, dass sie fronen.","Mjez ludom pak so dale praješe, zo na robotu chodźa."
"Es regnet, es ist kalt, und Schottland wird Teil des Vereinigten Königreichs bleiben.","Dešćuje so, je zyma, a Šotiska wostanje dźěl Zjednoćeneho kralowstwa."
Die Mädels dort bekommen bestimmt alle Ziegen.,Holcy tam dóstanu zawěsće wšitcy kozy.
Auf die nächsten 50 Jahre – und noch viele mehr!,Na přichodnych 50 lět – a hišće wjele wjace!
Innerhalb des Walls war die Schanze durchschnittlich etwa 25 Meter breit.,Znutřka nasypa bě hrodźišćo přerěznje něhdźe 25 metrow šěroke.
Mit Aufstehens- und Aufstandsappellen ist in Deutschland nichts zu gewinnen.,Z namołwami k pozběhnjenjam a zběžkam njeje w Němskej ničo k dobyću.
Persönliche und berufliche Entwicklung: Fort- und Weiterbildungsmöglichkeiten besprechen.,Wosobinske a powołanske wuwiće: Móžnosće dalekubłanja a kwalifikacije wobrěčeć.
Ein in die Enge getriebener Fuchs ist gefährlicher als ein Schakal.,Jedna do ćěsna zahnata liška je strašniša hač šakal.
"Wir bemühen uns aber, Ihre Nachrichten bald zu beantworten.","Prócujemy pak so, Waše powěsće bórze wotmołwić."
"Ich bin der Auffassung des Kollegen Hager, dass wir die Provider mit in die Pflicht nehmen sollten.","Sym měnjenja kolegi Hagera, zo měli tež poskićerjam winowatosć napołožić."
"Es war ein Raum aus dunklem, fast schwarzem, edlem Holz.","Běše to rumnosć z ćmoweho, nimale čorneho, drohotneho drjewa."
Die große Mineraliensammlung des sorbischen Naturforschers Nathanael Gottfried Leska wurde …,Wulka zběrka mineralijow serbskeho přirodospytnika Nathanaela Bohuměra Leska so …
Um zirka 3 Uhr nachts ist der Tod eingetreten.,Někak wokoło 3 hodźin w nocy je smjerć přišła.
Doyle wollte damit das Kapitel Sherlock Holmes für immer schließen.,Doyle chcyše z tym kapitl Sherlock Holmes na přeco wotzamknyć.
"Lehmann war dabei, sein Heu auf einen kleinen Anhänger zu laden.",Lehmann nakładowaše runje swoje syno na mały připowěšak.
"Sagt doch etwas, ich mache mir Sorgen!","Prajće tola něšto, ja so starosću!"
Bereits am 9. Mai wird er den ersten Gottesdienst in Groß Särchen halten.,Hižo 9. meje změje prěnje kemše we Wulkich Ždźarach.
Die Samenzellen des Stieres halten sich bei niedrigen Temperaturen längere Zeit.,Symjentne bańki byka so při niskich temperaturach dlěši čas dźerža.
Die Polizei hat die Immigranten und Flüchtlinge in Kroatien verschleppt.,Policija je imigrantow a ćěkancow w Chorwatskej zawlekła.
Die Gründe seien vielfältig.,Přičiny su pječa mnohostronske.
Ein Passwortmanager kann für euch die Handhabung unterschiedlicher Passwörter erleichtern.,Hesłowy manager móže wam wužiwanje rozdźělnych hesłow wolóžić.
In den mittleren Breiten sind Westwinde vorherrschend.,W srjedźnych šěrinach přewahuja zapadne wětry.
Fachverkäufer/innen für Haushaltswaren versehen Artikel mit Preisen und präsentieren sie.,Fachowi předawarjo/fachowe předawarki za domjacnostne twory wuhotuja artikle z płaćiznami a prezentuja je.
Das Dorf gehört zur Neschwitzer Gemeinde und zur Ralbitzer Kirchgemeinde.,Wjeska słuša do Njeswačanskeje gmejny a do Ralbičanskeje cyrkwinskeje wosady.
Hier ist der Name des gespeicherten Spiels aufgeschrieben.,Tu je mjeno składowaneje hry napisane.
"Es gab die glanzvolle römische Antike, in der Rom die Welt beherrschte.","Běše wulkotna romska antika, w kotrejž Rom swět wobknježeše."
Die feine Brühwurst Pastete ist ein beliebter Aufstrich zum Frühstück.,Drobna pasteta z ćopłeje kołbasy je woblubowana pomazanka k snědani.
"Falls Sie noch Fragen haben, können Sie sich herzlich gern auch an mich wenden.","Maće-li hišće prašenja, móžeće so radlubje tež na mnje wobroćić."
"Den Topf füllst du mit Wasser, bis das Hühnchen bedeckt ist.","Napjelniš hornc z wodu, doniž njeje kokoška zawodźěta."
Unser allerschönstes Mädchen kommt aus Saritsch.,Naša nanajrjeńša holca pochadźa ze Zarěča.
Weihnachten 2004: Tausende Touristen erholen sich an den Stränden des Indischen Ozeans.,Hody 2004: Tysacy turistow wočerstwjeja so při přibrjohach Indiskeho oceana.
Leider nutzen die Bildungseinrichtungen das Vortragsangebot kaum.,Bohužel kubłanišća poskitk přednoškow lědma wužiwaja.
Die Oberschule Schleife ist Teil des Deutsch-Sorbischen Schulkomplexes.,Wyša šula Slepo je dźěl Němsko-serbskeho šulskeho kompleksa.
Was gibt es zum Mittag?,Što syda k wobjedu?
"Was passiert, wenn du die Ludken beim Feiern störst?","Što so stanje, hdyž lutkow při zabawje myliš?"
"Nachdem der Film begonnen hatte, ließen sie niemanden mehr ein.","Po tym zo bě so film započał, njepušćichu nikoho wjace nutř."
Jeder Schulabbruch in unserem Land ist einer zu viel.,"Kóždy, kotryž w našim kraju šulu dokónčił njeje, je jedyn přewjele."
Die Informationen zum Bewerbungsverfahren stehen auch unter stiftung.sorben.com zur Disposition.,Informacije wo postupowanju požadanja steja tež pod stiftung.sorben.com k dispoziciji.
"Man nennt das Untergewicht, sie sind zu leicht.","Mjenujemy to podwahu, woni su přelochke."
Finden Sie den besten Putzroboter für Ihre Wohnung.,Namakajće najlěpši rjedźenski roboter za swoje bydlenje.
Im Gegensatz zu den anderen Gesteinsarten enthalten Sedimentgesteine häufig Fossilien.,Porno druhim družinam kamjenizny wobsahuja sedimentne kamjenizny často fosile.
Derzeit werden drei Formen jener Schäden an den Zähnen von Katzen unterschieden.,Tuchwilu rozeznawamy tři formy wonych škodow na zubach kóčkow.
"Ein geflügelter Helm, der seine Rolle als Götterbote unterstreicht.","Křidłaty nahłownik, kotryž jeho rólu posoła bohow podšmórnje."
Auch die Kommission ist in einigen Punkten ein bisschen zu behäbig und zu vorsichtig.,Tež komisija je w někotrych dypkach tróšku přepomałka a přeskedźbliwa.
"Falls du deinen Pass verlierst, ruf die Botschaft an!","Jeli swój pas zhubiš, zazwoń na wulkopósłanstwo!"
Sie hat ihm den Rücken zugewendet.,Wona je wot njeho wotwobroćiła.
Der hatte ihrem Sohn damals zum Studium verholfen.,Tón bě jeje synej tehdy na studije dopomhał.
Einige Tage später bildet sich auch das Euter aus.,Něšto dnjow pozdźišo so tež wumjo wutwori.
Zu Beginn der zweiten Halbzeit änderte sich an der Spielweise des Gegners wenig.,Spočatk druheho połčasa so na wašnju hraća přećiwnika mało změni.
Kriminelle Ausländer sollten aber konsequent abgeschoben werden.,Kriminelnych wukrajnikow pak měli konsekwentnje policajsce wupokazować.
Was ist kein heiliges Sakrament der katholischen Religion?,Kotry njeje žadyn swjaty sakrament katolskeje nabožiny?
"Die birmanischen Generäle tun wirklich alles, um an der Macht zu bleiben.","Birmascy generalojo činja woprawdźe wšitko, zo bychu při mocy wostali."
Erforderliche Unterlagen sind Personalausweis und gegebenenfalls Meldebescheinigung.,Trěbne podłožki su personalny wupokaz a jeli trjeba wobkrućenje přizjewjenja.
Auch die Kenntnisse über die EU sind nicht besonders verbreitet.,Tež znajomosće wo EU njejsu wosebje rozšěrjene.
"Dich rufen wir nicht an: Herr, erbarme dich.","K tebi njewołamy: Knježe, smil so."
Sie wollen Asylsuchende im Gebiet Weißwasser unterbringen.,Chcedźa azyl pytacych w Běłowodźanskej kónčinje zaměstnić.
Der hebräischen Sprache in all ihren Inkarnationen.,Hebrejskej rěči we wšěch jeje inkarnacijach.
Auch im Winter ist das Smartphone ein unverzichtbarer Bestandteil des Alltags.,Tež w zymje je šmóratko njeparujomny wobstatk wšědneho dnja.
"Schreib auf, welche Zugeständnisse Ludwig XIV. dem holländischen Unternehmer macht.","Napisaj, kotre přizwolenja čini Ludwig XIV. hollandskemu předewzaćelej."
"Es gibt nur ein Foto, das ihn lachend zeigt.","Eksistuje jenož jedne foto, kotrež pokazuje, kak so směje."
Domowina regelt die Teilnahme sorbischer Auswahlmannschaften an Sportveranstaltungen.,Domowina rjaduje wobdźělenje serbskich wubrankow na sportowych zarjadowanjach.
Im Einfluss hohen Luftdrucks stehen Süd- und Osteuropa.,Pod wliwom wysokeho powětroweho ćišća stejitej južna a wuchodna Europa.
"Fachapotheker/innen, die eine eigene Apotheke führen, handeln nach wirtschaftlichen Grundsätzen.","Fachowi apotekarjo/fachowe apotekarki, kotřiž swójsku apoteku wjedu, jednaja po hospodarskich zasadach."
"Seinem Kumpel Martin reichte es irgendwann, Andersen blieb dabei.","Jeho kumpl Martin měješe jónu syte, Andersen wosta při tym."
Die würzige Edelsalami wird nach einem traditionellen italienischen Rezept hergestellt.,Korjenita drohosalami zhotowja so po tradicionalnym italskim recepće.
"Der Begriff kommt ursprünglich aus dem Lateinischen „Caesar“, dem Titel der römischen Kaiser.","Zapřijeće pochadźa prěnjotnje z łaćonskeho „Caesar“, titla romskich kejžorow."
Das Digitale Raumordnungskataster enthält Informationen zu raumbedeutsamen Planungen und Maßnahmen.,"Digitalny kataster krajinoweho rjadowanja wobsahuje informacije wo planowanjach a naprawach, kotrež su za rum wuznamne."
Der letzte Tropfen des ausgekühlten Getränks war für beide bitter.,Poslednja kapka wustudnjeneho napoja bě za wobeju hórka.
In geringen Mengen braucht der menschliche Organismus Kupfer als essenzielles Spurenelement.,W snadnych mnóstwach trjeba čłowječi organizm kopor jako esencielny mikroelement.
Plaettner trifft zur Führung 3:2 (54.).,Plaettner trjechi na předskok 3:2 (54.).
"Insider berichten, was hinter den Kulissen vor sich gehen soll.","Insiderojo rozprawjeja, što drje so za wočemi zjawnosće stawa."
Weitere Informationen zum Thema Mindestlohn auf der Internetseite des Bundesarbeitsministeriums.,Dalše informacije wo temje minimalna mzda na internetnej stronje zwjazkoweho ministerstwa za dźěło.
Magma erstarrt entweder zu Tiefen oder Ergussgesteinen.,Magma sprostnje pak na hłubinowu abo na wulatu kamjeniznu.
"Da braucht ihr euch keine Sorgen machen, unser Antrag bei der Stiftung läuft bereits.","To njetrjebataj so starosćić, naša próstwa pola Załožby hižo běži."
Es geht schließlich um die Zukunft Deutschlands.,Dźe wšak wo přichod Němskeje.
Tom und Maria haben sich gerade einen neuen Wagen zugelegt.,Tom a Marija staj sej runje nowy wóz wobstarałoj.
So eine Aussage aus dem Munde einer jungen Sorbin ist bisher etwas ungewohnt.,Tajke wuprajenje z erta młodeje Serbowki je dotal něšto njezwučene.
Des Weiteren gibt es dort auch einen Schneidermeister Emil Unger.,Dale maja tam tež krawcowskeho mištra Emila Ungera.
Ich muss mein Adressbuch auf den neuesten Stand bringen.,Dyrbju swoju adresnik na najnowši staw přinjesć.
"Aber, Himmel, Arsch und Zwirn, die Tante hat einen neuen Freund.","Ale, čert a hela, ćeta ma noweho přećela."
Massagen wirken entspannend.,Masaže skutkuja wotpinace.
"Oder das theatralische Brimborium, das um die Gäste herum in Szene gesetzt wird.","Abo teatraliski brimborij, kotryž so wokoło hosći inscenuje."
Gehörte das fromme Gemurmel vielleicht zu dem feierlichen Firlefanz?,Słušeše pobožne bórbolenje snano k swjatočnym tryskam?
"Landauf, landab gehen Hunderttausende gegen ihn auf die Straße.",Wšudźe po kraju du statysacy přećiwo njemu na dróhu.
"Es lohnt sich, sie im Rahmen des Programms Marco Polo zu untersuchen.","Wudani so, je we wobłuku programa Marco Polo přepytować."
Auch im Spreewald ist dies zunehmend möglich.,Tež w Błótach bywa tole přiběrajcy móžno.
Frische Wunden sind manchmal auch feucht oder bluten leicht.,Čerstwe rany su druhdy tež włóžne abo zlochka krawja.
Er kennt die Wahrheit?,Wón wěrnosć znaje?
Auf diese Weise können gleich mehrere Kühe auf einmal befruchtet werden.,Na tute wašnje móža so hnydom wjacore kruwy nadobo wopłodźić.
"Die Luft, die das ermöglichte, wehte zweifellos von New York herüber.","Powětr, kotryž to zmóžni, duješe bjezdwěla z New Yorka sem."
Ich will nicht den ganzen Tag damit verbringen.,Nochcu cyły dźeń z tym přečinić.
"Die Mehrheit der Dorfbewohner waren arme Fronarbeiter, die für den Herren zum fronten.","Wjetšina wjesnjanow běchu chudźi roboćenjo, kiž chodźachu knjezej na robotu."
Diese Arbeit ist eine zu schwere Belastung für mich als Frau.,Tute dźěło je přećežke wobćeženje za mnje jako žonu.
Die Trittbrettfahrer von der AfD kamen da wie gerufen.,Napodobnjowarjo wot AfD tuž přińdźechu runje w prawym času.
Die Demokratie erweist sich als schutzlos.,Demokratija wopokazuje so jako bjez škita.
Damit hat sie sich mit dem radikal-nationalistischen Teil ihrer Anhängerschaft angelegt.,Z tym je so z radikalno-nacionalistiskim dźělom swojeho přiwisnistwa nasadźowała.
Schüler mit dem gleichen Buchstaben bilden eine Gruppe.,Šulerjo ze samsnym pismikom tworja jednu skupinu.
Hightech-Städte in Indien haben hoch qualifizierte Softwarespezialisten.,Hightech-města w Indiskej maja wysoko kwalifikowanych software-specialistow.
"Unter den führenden Sozialdemokraten war er anerkannt, aber nicht wohl gelitten.","Mjez wodźacymi socialdemokratami bě připóznaty, ale nic rady widźany."
Das Kabarett der Studenten war bissig und begeisterte das Publikum.,Kabaret studentow bě šćipaty a zahorjowaše publikum.
Warmwasseranschluss kann Programmdauer verkürzen.,Přizamknjenje ćopłeje wody móže čas programa skrótšić.
Die Niederschläge nehmen mit der Höhe rasch zu.,Spadki z wysokosću spěšnje přiběraja.
Weitere Anregungen können für den wissenschaftlichen Diskurs zur Thematik erwartet werden.,Dalše nastorki móža so za wědomostny diskurs wo tematice wočakować.
"Ich informiere die Stiftung im Vorfeld, damit die Schränke geöffnet sind.","Informuju do toho Załožbu, zo bychu kamory wotewrjene byli."
Die Mehrheit fürchtete früh den Krieg.,Wjetšina boješe so zahe wójny.
"Wichtiger noch war, was folgte.","Wažniše hišće bě, štož sćěhowaše."
Daran werden bunte Seidenbänder angesteckt.,Na njej přityknu so pisane židźane banty.
Es ist eher ein fiebriger Monolog.,Je to skerje zymicowy monolog.
Büchlein aus dieser Reihe haben ein quadratisches Format und einen festen Umschlag.,Knižki z tutoho rjadu maja kwadratiski format a krutu wobalku.
"„Und das ist auch gut so“, ergänzte sie.","„A to je tež derje tak“, wona doda."
"Ethische Verantwortung: Ärztliche Pflicht, Leid zu lindern und Hilfe zu leisten.","Etiska zamołwitosć: Lěkarska winowatosć, horjo wolóžić a pomoc wukonjeć."
"Steckt sich eine schwangere Frau an, droht die Gefahr, dass sie das Kind verliert.","Natyknje-li so samodruha žona, hrozy strach, zo dźěćo zhubi."
Vergleiche das Wachstum der Weltbevölkerung zwischen den Entwicklungs- und den Industrieländern.,Přirunaj rozrost swětoweho wobydlerstwa mjez wuwićowymi a industrijnymi krajemi.
Das ist der Schlüssel des Doms.,To je kluč hłowneje cyrkwje.
"Meinst du nicht, dass es um keine Sprachkenntnisse eines potenziellen Feindes geht?","Njeměniš, zo njejedna so wo žane rěčne znajomosće potencielneho njepřećela?"
Die stärkste Quelle ist das Rauchen.,Najsylniše žórło je kurjenje.
"Während Erzengel Michael, der Feldherr Gottes, das Schwert führte.","Mjeztym zo arcyjandźel Michał, wójnski wjednik Boži, mječ měješe."
Deshalb bezeichnet man den Fluss auch als Dammfluss.,Tohodla mjenuje so rěka tež nasypowa rěka.
Im Laufe eines Jahres bebt die Erde bis zu 5000 Mal.,W běhu lěta rži zemja hač do 5000 króć.
"Wenn uns Angst überfällt, so als hörte man nachts ein seltsames Geräusch.","Hdyž so nabojimy, jako bychmy w nocy spodźiwny ropot słyšeli."
Erstmals möchte das Heimatmuseum Dissen im Sommer ein Märchenfestival veranstalten.,Prěni raz chce Domizniski muzej Dešno w lěću bajkowy festiwal zarjadować.
Als Kinder waren wir immer bei Oma auf dem Lande.,Jako dźěći smy přeco pola wowki na wsy byli.
Vergleiche die Bevölkerungspyramiden.,Přirunaj pyramidźe ludnosće.
Der Titel der Petition lautet „Braunkohle stoppen – Tagebaue verkleinern“.,Titul peticije je „Brunicu stopować – jamy pomjeńšić“.
Ein Scheckbuch lässt sich im Tode nicht mitnehmen.,Šekowa knižka njeda so w smjerći sobu wzać.
"Wäre es nicht empfehlenswert, wenn sie in den Ruhestand, in Pension gingen?","Njeby radźomne było, hdyž byšće na wuměnk, do pensije šli?"
"Dies bedeutet, dass gewisse Übergangsregelungen erforderlich sein werden.","To woznamjenja, zo budu wěste přechodne rjadowanja trjeba."
Superintendent Malink hat die Arbeit unter den evangelischen Sorben geprägt.,Superintendent Malink je dźěło mjez ewangelskimi Serbami formował.
Jetzt brach für Martin alles ein.,Nětko so za Měrćina wšitko sypny.
Sie haben vermutlich nicht so viel Zeit wie ich.,Wy nimaće najskerje telko chwile kaž ja.
Leider wurde im Jahr 2000 das Krankenhaus mit Geburtenstation geschlossen.,Bohužel zawrě so w lěće 2000 chorownja z porodowej staciju.
"Nix, aber jetzt im Ernst, du wartest doch nicht auf Lucky?","Ničo, ale nětko chutnje, ty tla na Luckyja nječakaš?"
"Das heißt aber nicht, dass man nie wieder Kontakt haben kann.","To pak njerěka, zo njemóžeš ženje wjace kontakt měć."
Die Vogelhochzeit war ein voller Erfolg!,Ptači kwas bě połny wuspěch!
"Orbán wird nicht zu bannen sein, auch er bewohnt ein Zimmer des europäischen Hauses.","Orbána njemóžeš sputać, tež wón wobydli stwu europskeho domu."
"Ausreden sind zu allem gut, nur nicht zum Austreten.","Wurěče su ke wšemu dobre, jenož nic k wustupjenju."
"Prantl schreibt: „Das ist der Lawinenschutz, den die Demokratie verlangt.“","Prantl pisa: „To je škit před lawinami, kotryž sej demokratija žada.“"
Die Wassertiefe steigt um durchschnittlich 70 m.,Hłubokosć wody stupa wo přerěznje 70 m.
Das wäre eine einseitige Verteilung von „Schuld“.,To by było jednostronske rozdźělenje „winy“.
So entstand nach langer Zeit endlich eine geeignete Beziehung.,Tak po dołhim času skónčnje kmany poćah nasta.
"Sehr geehrte Damen und sehr geehrte Herren, liebe Leserinnen und liebe Leser!","Česćene knjenje a česćeni knježa, lube čitarki a lubi čitarjo!"
Fragen zu seiner persönlichen Situation lehnt er schroff ab.,Prašenja k swojej wosobinskej situaciji wón hrubje wotpokazuje.
Die Grenzen zwischen fiktiver Romanfigur und Realität waren vollkommen verschwommen.,Hranicy mjez fiktiwnej romanowej figuru a realitu běchu dospołnje njejasne.
"Nach dem Gottesdienst fragt Hanka: „Mama, ist Gott sehr krank?“","Po kemšach praša so Hanka: „Maći, je Bóh jara chory?“"
Diese ging offenbar nicht auf Dienstwegen ein.,Tuta njedóńdźe po wšěm zdaću na hamtskim puću.
Alles ändert sich nach dem Überfall Deutschlands auf Polen.,Wšitko změni so po nadpadźe Němskeje na Pólsku.
Es war vergeblich.,Bě to podarmo.
"Nepomuk wusste, dass Sofia eine Dichterin ist oder so etwas Ähnliches.","Nepomuk wědźeše, zo je Sofija basnica abo tajke něšto podobne."
Durch den Eintrag von Schwefel und Salpetersäure sinken die pH-Werte der Böden.,Přez zanošowanje syrikoweje a salpeteroweje kisaliny spaduja pH-hódnoty pódow.
Materiezusammenballung als Vorstufe von Planeten.,Nakopjenje materiala jako předschodźenk planetow.
"An Ostern müssen die Eier, die ich angemalt habe, fertig sein.","Jutry dyrbja jejka, kotrež sym namolowała, hotowe być."
Nutzen Sie bei Bedarf Playbacks oder alte MIDI-Dateien.,"Wužiwajće, je-li trjeba, playbacki abo stare MIDI-dataje."
Der Bau der Wettkampfstätte bildet dabei einen Meilenstein.,Twar wubědźowanišća twori za to měznik.
"Manchmal, sehr selten, fehlen 10 Rappen.","Druhdy, jara zrědka, pobrachuje 10 fenkow."
Der Termin für die Nordisch-Rote Luftwaffe ist vorgemerkt.,Termin za nordisko-čerwjene lětarstwo je zapisany.
Der sorbische Ausdruck oder die Entsprechung „bück dich“ wurde nie verwendet.,Serbski wuraz abo wotpowědnik „schil so“ njebu ženje wužiwany.
Sein Gebrauch hat zugleich dem Wohle der Allgemeinheit zu dienen.,Jeho wužiwanje ma zdobom k lěpšemu zjawnosće słužić.
In Saalau und in Sollschwitz wurde sogar ein großer Maibaum aufgestellt.,W Salowje a Sulšecach su samo wulku meju stajili.
"Tom hat seinem Hund beigebracht, Männchen zu machen und Pfötchen zu geben.","Tom je swojeho psa nawučił, mužika činić a packi dawać."
In diesem Fall aber gibt es offensichtlich ein gravierendes Behördenversagen.,W tutym padźe pak je wočiwidnje grawěrowace hamtske zaprajenje.
Dann wird das vage „christliche Weltbild“ bemüht.,Potom so wo wagny „křesćanski swětonahlad“ wužiwa.
Auch die Handlanger des Diktators werden zur Rechenschaft gezogen.,Tež přinošowarjo diktatora sćahnu so k zamołwitosći.
Es ist das übliche groteske Spiel.,Je to ta zwučena groteskna hra.
Anbaukalender in Indien.,Plahowanski kalender w Indiskej.
"Die Linke hatte es versäumt, Brücken zur Mitte hin zu schlagen.","Lěwica bě zapasła, zwiski dosrjedźa tworić."
"Bei Gewittern wurde sie angezündet, und man ging mit ihr durch das Haus.","Při njewjedrach ju zapalichu, a dźěchu z njej po domje."
Ansonsten hatten wir in der Großstadt Verkehrsstaus.,Hewak mějachmy we wulkoměsće z wobchadom zatykane dróhi.
Inmitten dieser Herrschaft wurde jenes Jugendkreuz im Niederland erneuert.,Wosrjedź tutoho knjejstwa bu wony młodźinski křiž w Delanach wobnowjeny.
Dafür aber hat Sorbisch auch einen schönen Ausdruck: faulenzen.,Za to pak ma serbšćina tež rjany wuraz: lěnjeho pasć.
„AfD-Verbot – jetzt!“,„Zakaz AfD – nětko!“
Der Stich des unliebsamen Gastes löst Juckreiz und allgemeine Unruhe und Schreckhaftigkeit aus.,Kłóće njelubozneho hosća wuwabja swjerbjenje a powšitkowny njeměr a spłóšiwosć.
Ihr Vorkommen oder Fehlen erlaubt Rückschlüsse auf die Eigenschaften des jeweiligen Standortes.,Jich jewjenje abo falowanje dowola konkluzije na kajkosće wotpowědneho stejnišća.
Die Produkte des Sportartikelherstellers Nike werden von den Jugendlichen gern getragen.,Wudźěłki producenta sportowych artiklow Nike młodostni rady noša.
Details zur Antragstellung entnehmen Sie bitte den Informationen der BBS.,Detaile wo zapodaću próstwy wučitajće prošu z informacijow BBS.
Stolz war er auf seine Laufbahn vermutlich schon.,Hordy wón na swoju karjeru najskerje žno bě.
Die ältere Zeit kenne ich vor allem aus seinen Erzählungen.,Starši čas znaju předewšěm z jeho powědanjow.
"Zum einen bin ich arm, zum anderen beschäftigt.","Na jednym boku sym chudy, na druhim zaběrany."
Auch der Herr Pfarrer gab sich dem Abenteuer mit dem Lehm hin.,Tež knjez farar so poda na dyrdomdejstwo z hlinu.
Wer war der erste Vorsitzende der Domowina?,Štó bě prěni předsyda Domowiny?
"Es wird wohl zu einem Zweikampf Scholz-Merz kommen, denn die beiden könnten unterschiedlicher nicht sein.","Dóńdźe drje k dwubojej Scholz-Merz, wšako njebyštaj rozdźělnišej być móhłoj."
"Wer zu sehr den Erfolg will, wird sehr wahrscheinlich scheitern.","Štóž přejara wuspěch chce, jara prawdźepodobnje zwrěšći."
Energiesparende LED-Lampen sollen die bisherigen HQL-Lampen ersetzen.,Energiju lutowanske LEDjowe lampy maja dotalne HQL-lampy narunać.
An welche Rechtsgrundlagen muss dieser sich halten?,Po kotrych prawniskich zakładach dyrbi so tutón měć?
Fast hättest du dir die Zähne mit Cortison geputzt.,Nimale by sej zuby z kortizonom rjedźiła.
"Schlug damals irgendwer scharfe Beschränkungen vor, forderte er noch schärfere.","Namjetowaše-li tehdy něchtóžkuli razne wobmjezowanja, žadaše sej wón hišće razniše."
"Keine „Three-Strikes-Out“, keine unbefugten Durchsuchungen und Beschlagnahmen von Laptops oder Handys.","Žadyn „Three-Strikes-Out“, žane njewoprawnjene přepytowanja a sćazanja laptopow abo handyjow."
"Welche Aktivitäten der Sorben, der sorbischen Patrioten, kamen während dieser Zeit zum Vorschein?","Kotre aktiwity Serbow, serbskich prócowarjow, so za tutón čas pokazaja?"
Der zweite Schritt ist die Durchführung des Projekts.,Druha kročel je přewjedźenje projekta.
"Ich wünschte, du ließest Tom mit uns gehen.","Bych sej přała, zo by ty Tomej z nami hić dała."
Sie fühlen sich im eher kalten Wasser wohl.,Woni čuja so w skerje zymnej wodźe derje.
Im Russischen ist Ucha eine beliebte Fischsuppe.,W rušćinje je ucha woblubowana rybjaca poliwka.
Schladitzer See ist 220 ha groß.,Schladitzski jězor je 220 ha wulki.
Alles andere wäre „unmenschlich“.,Wšo druhe by „nječłowjeske“ było.
Besonders Klimafaktoren bestimmen das Klima eines bestimmten Gebietes.,Wosebje klimowe faktory postajeja klimu wěsteho teritorija.
Praj mi to serbsce! - Sag es mir auf Sorbisch!,Praj mi to serbsce! - Praj mi to serbsce!
"Die nach außen schauen, träumen; die aber, die nach innen schauen, erwachen.","Kiž dowonka hladaja, sonja; ale, kiž donutřka hladaja, wotuća."
Die Hussen über den Stühlen sehen sehr gut aus.,Poćehnjenja přez stólcy jara derje wupadaja.
Die natürliche Grenze Mecklenburg-Vorpommerns wird im Norden aus der Küste gebildet.,Přirodna hranica Mecklenburgsko-Předpomorskeje twori so na sewjeru z pobrjoha.
Die Bereitschaft zur Organisation und Begleitung müsste noch ausgebaut werden.,Zwólniwosć k organizaciji a přewodźenju by so hišće rozšěrić dyrbjała.
Später kam auch die Krippe hinzu.,Pozdźišo přidruži so tež žłobik.
"Was ihr auch Schweres zu leiden habt, tragt es in Geduld!","Što maće tež ćežkeho ćerpjeć, znjesće to w sćerpliwosći!"
Zum 7. Oktober kein einziges Wort.,K 7. oktobrej ani jeničke słowo.
Der Rabe braucht sie nicht.,Rapak ju njetrjeba.
"Sonne, Regen, Regenbögen und frische Winde über der Nordsee.","Słónčko, dešćik, tučele a čerstwe wětry nad Sewjernym morjom."
Anfangs schauten sie sich zwar alles neue argwöhnisch an.,Spočatnje drje sej wšo nowe skeptisce wobhladowachu.
"Ein älterer Bewohner des Dorfes, den wir auf der Straße fanden, ließ sich ansprechen.","Starši wobydler wjeski, kotrehož na dróze nańdźechmoj, da so narěčeć."
"Ich weiß schon, wann ich die Toilettenbürste benutzen muss!","Wěm hižo, hdy mam šćětku za toaletu wužiwać!"
Ist die Freiheit der Meinung in Deutschland wirklich bedroht?,Je swoboda měnjenja w Němskej woprawdźe wohrožena?
"Nicht in die Hände niesen oder husten, sondern in die Ellenbeuge.","Nic do rukow třichać abo kašlować, ale do łochća."
Was sind eure Vorschläge?,Što su waše namjety?
Bei Kaffee und leckerem Kuchen informierten die Erzieher über Neuerungen der Kindertagesstätte.,Při kofeju a słódnym tykancu informowachu kubłarjo wo nowostkach kubłanišća.
Unseren Veranstaltungskalender finden Sie hier.,Tule namakaće naš kalender zarjadowanjow.
Das Projekt „Odyssee“ wurde vor vier Jahren in Bautzen ins Leben gerufen.,Projekt „Odyseja“ bu před štyrjomi lětami w Budyšinje zrodźeny.
"Zu Kompromissen ist er nicht bereit, er geht in die Offensive.","Ke kompromisam njeje zwólniwy, dźe do ofensiwy."
Ich möchte bitte hier lang gehen.,Chcu prošu tule hić.
"Laboruntersuchungen erfordern exaktes Beobachten, Geschicklichkeit, Konzentration und Durchhaltevermögen.","Laborowe přepytowanja žadaja sej eksaktne wobkedźbowanje, wušiknosć, koncentraciju a wutrajnosć."
Dazu bedienen sie Transportmittel wie Gabelstapler oder Hubwagen.,Za to wobsłužuja woni transportne srědki kaž widłowy staplowak abo zběhadłowy wóz.
