hsb,dsb
Jeho dźowce Betty a Lotti w dźěćacej skupinje sobu trenujetej.,Jogo źowce Betty a Lotti w źiśecej kupce sobu treněrujotej.
Hłownje přebywachmy tam na rjanej běłej přibrjoze.,Głownje smy tam pśebywali na rědnem běłem pśibrjogu.
Kćenja wósta maja poměrnje wulke mnóstwo nektara.,Kwiśonki wóseta maju poměrnje wjeliku licbu nektara.
"Što to za Was woznamjenja, z rentnarjom być?","Co to za Was wóznamjenijo, byś rentnaŕ?"
Wottřělenje zwěrjatow w holi je zwadliwe.,Wótstśělenje zwěrjetow w góli jo zwadne.
"Při tym jedna so wo zběrku wobrazow, widejow a awdijodatajow.","Pśi tom jadna se wó zběrku wobrazow, wideo a awdiodatajow."
Někotryžkuli čłon wobhladuje zwjazk snadź jako serwisowu słužbu.,Někotaryžkuli cłonk wobglědujo zwězk snaź ako serwisowu słužbu.
Lucy chcyše so ze swojimi přećelkami na susodnej třěše zetkać.,Lucy jo kśěła se zmakaś ze swójimi pśijaśelkami na susednem kšywje.
Wón nawjedowaše posedźenje gremija wčera 68. króć po zwučenym wašnju.,Wón jo nawjedował pósejźenje gremija cora 68. razoju pó zwuconej wašni.
Towarstwo zastaraše přijimarjow Hartz IV ze žiwidłami.,Towaristwo jo zastarało dostawarjow Hartz IV ze zežywidłami.
Druhe dźěćo dyrbi hnydom po mojim studiju přińć.,Druge góle dej ned pó mójom studiju pśiś.
"Reformacija měješe tež za Serbow wulki wuznam, tak rěčnik.","Reformacija jo měła teke za Serbow wjeliki wuznam, tak powědaŕ."
Poł wsy přisłušeše antifašistiskemu spjećowanju.,Poł jsy jo pśisłušało antifašistiskemu wopěranju.
"Nó wězo, dokelž nosy swoju chěžku na chribjeće.","No se wě, dokulaž ma swóju wjažu na kśebjaśe."
Wot swojeho šefa přewzatu firmu wón wuspěšnje dale wjedźe.,Wót swójogo šefa pśewzetu firmu wón wuspěšnje dalej wjeźo.
"2016 mějachmy móžnosć, so ze wšitkimi pěstowarnjemi wobdźělić.","2016 smy měli móžnosć, se ze wšyknymi źiśownjami wobźěliś."
Přećelka chce přećelce něšto linkow napisać.,Pśijaśelka co pśijaśelce pór smužkow napisaś.
A serbske naležnosće móžachu tehdy tež z jejemi podpěrać.,A serbske nastupnosći su mógali tegdy teke z jajami pódpěrowaś.
Wobsahowe pohódnoćenje přidatka  je so změniło.,Wopśimjeśowe pógódnośenje dodanka  jo se změniło.
W priwatnych domjacnosćach přetrjebaja młodostni wjele miliny.,W priwatnych domacnosćach pśetrjebaju młodostne wjele miliny.
Tež tam fachowcy na wčerawšej wuprawje pobychu.,Teke tam su fachniki na corajšnem drogowanju póbyli.
Potom wostanu hišće pjeć mjeńšinow we łožu ležo.,Pótom wóstanu hyšći pěś minutow w póstoli lažecy.
"Ja płakach wo mać, kotraž je swoje dźěći wopušćić dyrbjała.","Ja som płakał wó mamu, kótaraž jo swóje źiśi spušćiś dejała."
Dohromady běchu něhdźe 18 000 přewšo spokojenych přihladowarjow přitomni.,Nagromadu jo było něźi 18 000 pśewšo spokojonych pśiglědowarjow pśibytnych.
Wot toho časa židowska wosada w Choćebuzu hižo njeeksistowaše.,Wót togo casa žydojska wósada w Chóśebuzu južo eksistěrowała njejo.
Serbsce popisana tafla wisaše na twarjenju parlamenta a před schadźowanišćom.,Serbski pópisana tofla jo wisała na twarjenju parlamenta a pśed rumnosću zmakanja.
"Mój prajachmoj haj k tutomu poskitkej, ale njepodpisachmoj zrěčenje.","Mej smej groniłej jo k tomu póbitowanju, ale njejsmej pódpisałej dogrono."
Kóždy raz ma jedyn z mojich zwěrjećich přećelow hru sobu.,Kuždy raz ma jaden z mójich zwěrjetowych pśijaśelow graśe sobu.
"Michał so směješe, měješe swoje wjeselo na Měrcynych klankach.","Michał jo se smjał, jo měł swójo wjasele na pupkach Měrki."
Kóždy z nas ma na tym swój nic njemały podźěl.,Kuždy z nas ma na tom swój nic njemały późěl.
Tež ja njemějach w tym tydźenju žanu móžnosć wróćolěta.,Teke ja njejsom měł w tom tyźenju žednu móžnosć slědklěta.
Po zasakłym spjećowanju podleža naše mustwo.,Pó kradu kšutem wopěranju jo pódlažało našo mustwo.
"Župan župy zdźěli, zo jeho župa jeho namjet podpěruje.","Župan župy jo zdźělił, až jogo župa jogo naraźenje pódpěrujo."
"»Twoja ideja njeje hubjena«, wjeseli so papa.","»Twója ideja njejo špatna«, se papa wjaseli."
Jako dźeń wupowědźenja je dochad wupowědźenskeho pisma rozsudny.,Ako źeń wupowěźenja jo dochad wupowěźeńskego pisma rozsudny.
"Z trubku pokaza ke chěži, hdźež ćeta Hanka wokna rjedźi.","Z fejfku pokazujo do wjaže, źož śota Hanka cysći wokna."
A skónčnje mějachmy po wěstym času sadu hromadźe.,A skóńcnje smy měli pó wěstem casu sadu gromaźe.
Synonym pomjenuje słowo ze samsnym wuznamom kaž druhe.,Synonym pomjenijo słowo ze samskim wóznamom ako druge.
Myška skoči do mukoweho suda a kóčki skočichu za njej.,Myška jo skócyła do mukowego suda a kócki su za njeju skócyli.
"Žona wědźeše, što to rěka, kóčka bě njespokojna.","Žeńska jo wěźeła, co to groni, kócka jo była njespokojna."
"To je podobnje, kaž hdyž chceš puding na sćěnu přiklepać.","To jo pódobnje, ako gaž coš puding na sćěnu pśiklapaś."
Tehdyše wojowanje zmóžnja dźensa jako „łužiski puć“ přesydlencam lěpše wuměnjenja.,Tegdejše wójowanje zmóžnijo źinsa ako „łužyska droga“ pśesedlarjam lěpše wuměnjenja.
W někotrych swójbach w Dubrjenku so intensiwnje serbsce rěči.,W někotarych familijach w Dubrjenku se intensiwnje serbski powěda.
Čehodla je Sakska dźesaty najwjetši zwjazkowy kraj w Němskej?,Cogodla jo Sakska źasety nejžwětšy zwězkowy kraj w Nimskej?
Chceće tutón ze zornjatkami dokoławokoło abo bjez nich?,Cośo toś ten ze zernkami dokoławokoło abo bźez nich?
Wosrjedź dnja tróšku trenować a wječor na party hić?,Srjejź dnja pitśku treněrowaś a wjacor na party hyś?
Politikar AfD namjetowaše nastupajo wutworjenje serbskeho parlamenta ludowe woprašowanje wotměć.,Politikaŕ AfD jo naraźił nastupajucy wutwórjenje serbskego parlamenta ludowe wopšašowanje wótměś.
"Wězo, njebój so, sym praskotaki wobstarał.","Se wě, njebój se, som praskotaki wobstarał."
"Wón rozsudźi, drohich gardistow pušćić.","Wón jo rozsuźił, drogich gardistow ze słužby pušćiś."
Mužojo a žony škarachu ze žerdźemi wot brjoha do wody.,Muske a žeńske su škarali ze žerźami wót brjoga do wódy.
Wosebje měł tež kóždy kritiski a aktiwny čłon witany być.,Wósebnje měł teke kuždy kritiski a aktiwny cłonk witany byś.
Lětsa mějachu Budyscy serbscy gymnaziasća nós prědku.,Lětosa su měli budyšyńske serbske gymnaziasty nos prědku.
Pod Ludwigom XIV. wobknježeše Francoska wšitke politiske naležnosće kóždeho kraja.,Pód Ludwigom XIV. jo wobkněžyła Francojska wšykne politiske nastupnosći kuždego kraja.
Woni přejachu sej lěpše zhromadne dźěło mjez Sakskej a Braniborskej.,Wóni su žycyli sebje lěpše zgromadne źěło mjazy Sakskeju a Bramborskeju.
Gmejna sama porno tomu z planowanjom přesydlenja dale pokročuje.,Gmejna sama napśeśiwo tomu dalej pókšacujo z planowanim pśesedlenja.
Kaž přeco po dźěle zawiny wona z kolesom wokoło róžka.,Ako pśecej pó źěle jo wóna pó kólasu zawinuła wokoło rožka.
Přiwšěm su tajke za kedźbliweho wobkedźbowarja widźomne.,Weto su take za rozglědniwego wobglědowarja widobne.
Tež financielnje mi rady z najhóršeje nuzy wupomha.,Teke financielnje mě rad z nejgóršeje nuze wupomogał.
Tu wobdźěleja so maćernorěčni Serbja něhdźe dwě hodźinje w skupinach.,How wobźěluju se maminorěcne Serby něźi dwě góźinje w kupkach.
"Druhdy jednaš samo dočasnje mudrje, so wona potajnostnje smějkotaše.","Wótergi sy samo južo docasnje mudrjejšy, jo se wóna kšajźu smjejkotała."
Swisle debjachu něhdy stary twar Budyskeho měšćanskeho dźiwadła.,Gible su něga pyšnili staru twaŕ Budyšyńskego měsćańskego źiwadła.
"Tole činja druhe města, ale Mnichow tehdy a dźensa nic.","To gótuju druge města, ale München tegdy a źinsa nic."
Chcemoj so z nim radšo štwórtk po kwasu zetkać?,Comej se z nim lubjej stwórtk pó swajźbje zmakaś?
Takle postupujeće: Hrjadku dokładnje wuměrće.,Tak póstupujośo: Grědku dokradnje wuměŕśo.
"Ale k Ewelinje hodźeše so lěpje, zo zwoblěkana sněda.","Ale k Ewelinje jo se góźeło lěpjej, až by woblacona snědała."
Najwuznamniše dźěćo swójby je molerka Marianne Britze.,Nejwuznamnjejše góle familije jo mólaŕka Marianne Britze.
W meji steji na pěstowarskej zahrodźe mała meja.,W maju stoj w źiśowni mały majski bom.
W fundusu ansambla maja wjac hač tysac tutych drastow.,W fundusu ansambla maju wěcej ako tysac toś tych drastwow.
"Přijědźe hnydom sem, zo by sej wobradu wobhladał!","Pśijěźo ned sem, aby sebje wobradu woglědał!"
Ja sym mjetawku preč stajiła a sym sej wobmjetk bliže wobhladał.,Som mjatawku pšec stajiła a sebje wobchytanje bližej woglědała.
Ja čakach na maćerne narodniny a nadobo tu běchu.,Ja som cakał na maśerine narodniny a naraz su byli how.
"„Tónle staw znjeměrnja nas nětko jara“, wona zwěsći.","„Toś ten staw znjeměrnja nas něnto wjelgin“, wóna zwěsćijo."
Su tež druhdy njemało dźiwne a lubuja wšu rěč.,Wóni su teke wótergi njemało źiwne a wšu rěc lubuju.
Za jeho čas bydlachu na farje tež słužowne ze Šwedskeje.,Za jogo cas su na farje teke bydlili słužabne ze Šwedskeje.
Nastorčenu diskusiju nima sakski ministerski prezident za spomóžnu.,Póstarconu diskusiju njama sakski ministaŕski prezident za spómóžnu.
"Tam móhli přełožki poskićić, ale nic na cyłej zhromadźiznje!","Tam mógali pśełožki póbitowaś, ale nic na cełej zgromaźinje!"
Młodostni přińdźechu z masami na koncert.,Młodostne su pśišli z kopicami na koncert.
"Zo to tunje njebě, budźeš dyrbjeć přiznać.","Až to njejo było tunjo, musyš pśiwdaś."
Z dochodami serbskich jutrownych wikow financujemy swoje dźěłarnički.,Z nabrankami serbskich jatšownych wikow financěrujomy swóje workshopy.
"Hdyž ty skónčnje njepřestanješ, njedóstanješ ničo k wječeri, swarješe mać.","Gaž skóńcnje njepśestanjoš, njedostanjoš nic k wjaceri, jo mama šćokała."
Potrjechenym předewzaćam zawěsćamy zachowanje jich eksistency.,Pótrjefjonym pśedewześam zawěsćujomy zachowanje jich eksistence.
Zanjerodźenja a zničenja přirody dla pak njewěstosć a wobmyslenja přiběraja.,Zanjerěšenja a znicenja pśirody dla pak njewěstosć a wobmyslenja pśiběraju.
Twoje fakty rěča přećiwo znatej teoriji.,Twóje fakty powědaju pśeśiwo znatej teoriji.
Přehlad je so přidatkej  přidał.,Pśeglěd jo se dodankoju  pśidał.
Tuž běchu we wšěch jednotach lochkoatletiske wubědźowanja móžne.,Togodla su byli we wšych jadnotach móžne lažkoatletiske wuběźowanja.
Wonaj staj tajny recept za chinske nudle wótře prajiłoj.,Wónej stej pótajmny recept za chinske nudle głosnje groniłej.
Přitomni rozjimachu warianty loga „Łužiskoserbskeho sejma“.,Pśibytne rozjimachu warianty loga „Łužyskoserbskego sejma“.
Tohodla połoži sej wón swój lětuši dowol do oktobra.,Togodla jo wón sebje połožył swój lětosny dowol do oktobra.
To je njesměrne wudobyće za dalše wuwiće mjeńšinow.,To jo wurědne wudobyśe za dalšne wuwiśe mjeńšynow.
"Ja so dopomnich, kak běchmy so přez silwesterske wudaće smjeli.","Ja som se dopomnjeł, kak smy se pśez silwesterske wudaśe smjali."
Škit tutoho je bytostny nadawk Domowinskeho skutkowanja.,Šćit toś togo jo bytostny nadawk statkowanja Domowiny.
Tola tutej krizy hodźeštej so zmištrować.,Weto tej krizy stej dałej se zmejstrowaś.
Po prědarskim seminarje skutkowaše dwanaće lět jako farar w Lubušu.,Pó prjatkaŕskem seminarje jo statkował dwanasćo lět ako faraŕ w Lubušu.
"Hej wichoro, ja sym něšto za tebje namakał.","Hej wichaŕ, som něco za tebje namakał."
Přičina bě po wozjewjenju předewzaća problem likwidity.,Pśicyna jo była pó wózjawjenju pśedewześa problem likwidity.
Starši chcedźa wo přichodnych kročelach po lěćnych prózdninach wuradźować.,Starjejše kśě wó pśiducych kšacach wobradowaś pó lěśojskich prozninach.
Prěnju industrielnu škleńčernju załožichu w Krušwicy.,Prědnu industrielnu głažaŕnju su załožyli w Krušwicy.
Wudźěłki producenta sportowych artiklow Nike młodostni rady noša.,Wuźěłki producenta sportowych artiklow Nike młodostne rady nose.
Nan přińdźe po zwučenym wašnju trochu pozdźišo domoj.,Nan jo pśišeł pó zwuconej wašni tšochu pózdźej domoj.
Trjebamy rjadowanje jako mjeńšinowe šulstwo w zmysle sobupostajowanja.,Trjebamy rědowanje ako mjeńšynowe šulstwo w zmysle sobupóstajanja.
Woni prócuja so wo zhromadne dźěło ze specifiskimi towarstwami.,Wóni procuju se wó zgromadne źěło ze specifiskimi towaristwami.
Tajkele drjebjenje tu za blidom rady nimam.,Take drobjenje how za blidom njelubujom.
Wobaj wobknježitaj retoromanšćinu z dźěćatstwa sem.,Wobej wobkněžytej retoromańšćinu wót źiśetstwa.
Po tym zaklinči live-hudźba a kulinariske poskitki program wudospołnjeja.,Pó tom jo live-muzika zaklinca a kulinariske pórucenja program wudopołnjuju.
"Lina zahorjena praji, zo grilowane kołbaski zaso wulkotnje słodźa!","Lina zagórjona groni, až grilowane jěšnice zasej wjelicnje słoźe!"
"Do čołma donjeseštaj dwaj bowaj, njewěm što w nimaj bě.","Do cołna stej njasłej dwa zbórka, ja njewěm co jo w nima było."
Cyrkej dale wobsteji a dźěło so mi jara lubješe.,Cerkwja dalej wobstoj a źěło jo se mě wjelgin spódobało.
Na pućowanskej šćežce drje njebudźe so z ludźimi mjerwić.,Na drogowańskej sćažce nejskerjej njebuźo se z luźimi mjerwiś.
Korjenje serbskeho nowinarstwa sahaja hač do 18. lětstotka wróćo.,Kórjenje serbskego casnikaŕstwa segaju slědk až do 18. stolěśa.
Zastojnik je poskitk a kóždu mysličku na kompromis wotpokazał.,Zastojnik jo pórucenje a kuždu myslicku na kompromis wótpokazał.
Zhromadne dźěło šule a horta zwisuje z konkretnymi wobstejnosćemi.,Zgromadne źěło šule a horta zwisujo z konkretnymi wobstojnosćami.
Mjeztym bydla 1193 ludźi we Werminghoff.,Mjaztym bydli 1193 luźi we Werminghoff.
Ze solistami stejachu tež zaso samsni solisća k dispoziciji.,Ze solistami su stojali teke zasej samske solisty k dispoziciji.
Změrowacy skutkuje město toho wobraz ze serije „Dźakowano njebjesam“.,Změrujucy statkujo město togo wobraz ze serije „Źěkowano njebju“.
Móžeće z bohateho materiala lubowólnje přikład wubrać.,Móžośo z bogatego materiala pśipadnje pśikład wubraś.
Faza planowanja móže hač do dwaceći lět trać.,Faza planowanja móžo traś až do dwaźasća lět.
"Tež my dóstachmy hnydom kwartěr připokazany, hdźež nas přećelniwje přijachu.","Teke my smy dostali ned kwartěr pśipokazany, źož su nas pśijaśelnje pśiwzeli."
Domowinske skupiny/zjednoćenstwa wjedu swójsku kasu a zběraja sobustawske přinoški.,Domowinske kupki/zjadnośeństwa wjedu swójsku kasu a zběraju cłonkojske pśinoski.
Schadźowanje wotměje so tónraz w Delnjej Łužicy.,Schadowanje wótmějo se tenraz w Dolnej Łužycy.
"Mjeńšiny trjebaja hłós, zo móhli so artikulować.","Mjeńšyny trjebaju głos, aby mógali se artikulěrowaś."
W Ralbicach dožiwich ja nyšpor křižerjow před nawrótom do Kulowa.,W Ralbicach som dožywiła nabóžninu jatšownych rejtarjow pśed wrośenim do Kulowa.
Tajki profi-kolesowar přepruwuje tola swoje koleso do wubědźowanja!,Taki profi-kólasowaŕ pśeglědujo źe swójo kólaso do wuběźowanja!
"Na wopismje, kotrež je ministerski prezident podpisał, steji.","Na wopismje, kótarež jo ministaŕski prezident pódpisał, stoj."
Tu skićeja wučerjo dźěćom specielnu podpěru.,How póbituju wucabniki źiśam wósebnu pódpěru.
"To mi přeco wšo na bok kładźeš, huntorješe so wón.","To mě pśecej wšykno na bok scynijoš, jo se górił."
Tute jenož hišće fachowcy přewidźa a zrozumja.,Toś te jano hyšći fachniki pśewiźe a rozměju.
"Hdyž problemy zdźěliće, pomhaće  za kóždeho polěpšić.","Gaž problemy k wěsći dajośo, pomagaśo  za kuždego pólěpšyś."
Swinje su wšožrački z typiskim kusadłom wšožračkow.,Swinje su wšožracki z typiskimi zubami wšožrackow.
Křesćenjo přewzachu swjatoćinu jako znamjo bójskosće wot romskich kejžorow.,Kśesćijany su pśewzeli swěte swětło ako znamje bogojskosći wót romskich kejžorow.
Wosebje rady žeru insekty kaž bruki a mrowje.,Wósebnje rady žeru insekty ako bruki a mroje.
"Běchu to spisowaćeljo, kotřiž běchu jej bliscy přez jich romany.","Su to byli spisowaśele, kenž su jej byli bliske pśez swóje romany."
"Ale bě bjez zmysła, dale pytać, běštaj wšo přeryłoj.","Ale jo bźez zmysła, dalej pytaś, stej wšo pśeryłej."
"Ale to njesmě nichtó wědźeć, je dźěd prajił.","Ale to njesmějo nichten wěźeś, jo starki gronił."
W předrasćerni so předrasću a wobleku so kupanski woblek.,W pśewoblekaŕni se pśewoblacom a woblacom se kupański woblak.
Łužiscy reprezentanća wuzběhnychu wuznam zmilinjenja brunicy.,Łužyske reprezentanty su wuzwignuli wuznam pśeźěłanja brunice na milinu.
"Spakowany kófer steji pódla duri, za někotre hodźiny wona wotleći.","Spakowany kofer stoj pódla źuri, za někotare góźiny wóna wótleśijo."
Na Lokija wjedro po wšěm zdaću dale a hórje skutkowaše.,Na Lokija jo wjedro zazdaśim dalej a górjej statkowało.
89-lětna Gerda Krawcec z Barta so tu wuda.,89-lětna Gerda Krawcojc z Barta jo se how zaženiła.
Jednu pak wjetšina Serbow jako swoju znaje – Kulowsku.,Jadnu pak wětšyna Serbow ako swóju znajo – kulojsku.
To rjekny hospodarski minister Sakskeje nowinarjam.,To jo gronił góspodaŕski ministaŕ Sakskeje žurnalistam.
"Bychu ju pohnuć chcyli, so pozběhnyć a sobu lećeć.","Kśěli ju pógnuś, se zwignuś a sobu leśeś."
Wone měješe wustajeńcy we Łužicy a w słowjanskim wukraju wuhotować.,Wóno jo měło wustajeńce we Łužycy a w słowjańskem wukraju wugótowaś.
Hrónčka Salomona su nimo psalmow pola koptow jara woblubowane.,Gronka Salomona su mimo psalmow pla koptow wjelgin woblubowane.
"„Mějachmy po nich přeco požadanja“, wón redaktorej praji.","„Smy měli za nimi pśecej póžedanja“, jo wón gronił redaktoroju."
Wjesnjenjo přichadźachu tež w tajkich padach po moju wowku.,Wejsanarje su pśišli teke w takich padach pó móju starku.
"Ja sej myslu, zo je to pola Tomaša chutne.","Ja se myslim, až jo to pla Tomaša južo tšašne."
Staflowy běh wotměje so jenož při rjanym wjedrje.,Staflowy běg wótmějo se jano pśi rědnem wjedrje.
"Łužica trjeba dołhodobnu, ekologisku a socialnje znjesliwu strukturnu změnu.","Łužyca trjeba dłujkodobnu, ekologisku a socialnje znjasliwu strukturnu změnu."
Ale štó ma dźensa w zahrodce hišće morchej.,Ale chto ma źinsa w gumnje hyšći marchwej.
W šulach móžeše so nětko serbšćina wuwučować.,W šulach jo se mógała něnto serbšćina wuwucowaś.
Při tym započina so stupacy powětr přeco spěšno wjerćeć.,Pśi tom se chapja se stupajucy pówětš pśecej malsnjej wjerśeś.
"„Kwiči?“, wopraša so Hanka a połoži šrofu na wowsnu lódku.","„Kwicy?“, jo se Hanka pšašał a połožył šropu na wowsnu lodku."
To je wuslědk wuradźowanja minjenu sobotu w Njebjelčanskej Heldec hospodźe.,To jo wuslědk wobradowanja slědnu sobotu w Njebjelčanskem Heldec gósće.
Přijěducy wotlěwa wotboči wón doprawa.,Pśiducy wótlěwa wótbocyjo wón napšawo.
"Wona je maćeri prajiła, zo chce štyrjoch hólcow wodźićelej dać.","Wóna jo maśeri groniła, až co styrich gólcow wóźarjeju daś."
Knjez Peter pokaza so tutej naležnosći napřećo wotewrjeny.,Kněz Peter pokazujo se toś tej nastupnosći napśeśiwo wótwórjony.
Powołanje časnikarja nochce nichtó wjace wukonjeć.,Pówołanje zegerarja njoco wěcej nichten wugbaś.
Kajku aktiwnu rólu móhli dźensa hrać wyše wobchowanja swójskeje kultury?,Kaku aktiwnu rolu mógali źinsa graś wušej zachowanja swójskeje kultury ?
Moje žiwjenje na tutej zemi je jenož krótke.,Mójo žywjenje na toś tej zemi jo jano krotke.
Nimale kóždy dźeń slěduja potom najwšelakoriše kulturne poskićenja.,Pśisamem kuždy źeń slěduju pótom wšakorake kulturne pórucenja.
Tuž so postup na horu w kóždym padźe wudani.,Toś póstup na góru se w kuždem paźe wupłaśijo.
"Prošach jeho, dźěćo tola wonka wostajić, njepomhaše ničo.","Som jogo pšosył, aby góle źe wence wóstajił, njejo pomagało."
Teritorij Indiskeje so rozsudnje přez tropiski monsun wobwliwuje.,Teritorij Indiskeje se rozsudnje wobwliwujo pśez tropiski monsun.
Wón přełožowaše ewangelsku bibliju za mału wosadu w srjedźnej Łužicy.,Wón jo pśestajił ewangelsku bibliju za mału wósadu w srjejźnej Łužycy.
Hač na dalše wostanje dźiwadło zawrjene.,Až na dalšne wóstanjo źiwadło zacynjone.
Naši camprowarjo dadźa sebi zdobyte chłóšćenki słodźeć.,Naše camprowarje daju sebje zesłoźeś zdobyte chłošćonki.
By da ty chcyła stajnje mała wostać?,By ga ty kśěła stawnje mała wóstaś?
Za wosy woznamjenja awgust porowanski čas.,Za wóse wóznamjenijo awgust cas pórowanja.
"Piće ze słoda a chmjela zwarjene, kóždy wotmołwi.","Piśe ze słoda a chmjela warjone, kuždy wótegronijo."
Wčera so w Lipsku wrota lětušich knižnych wikow zawrěchu.,Cora su se w Lipsku zacynili wrota lětosnych knigłowych wikow.
Za Jordanowy časopis zdoby wón Zejlerja jako redaktora.,Za casopis Jordana jo wón zdobył Zejlerja ako redaktora.
"Na złotym kwasu je wnučka přeradźiła, zo wočakuje dźěćo.","Na złotej swajźbje jo źiśiźiśe pśeraźiła, až wócakujo góle."
Seršće kołowokoło ćěła su jej při tym wosebje wušne.,Šćeśe kołowokoło śěła su jej pśi tom wósebnje wužytne.
Přirunajće interpretaciji wot Jeffa Buckleja a Rufusa Wainwrighta.,Pśirownajśo interpretaciji wót Jeffa Buckleja a Rufusa Wainwrighta.
Nazajtra jeho hižo při směrkanju klepanje wo wokno wubudźi.,Pśiducy źeń jo jogo južo pśi změrkanju klapanje wó wokno wubuźiło.
Wobě stej so někak dwaceći metrow hłuboko do krajiny zaryłoj.,Wobej stej se něźi dwaźasća metrow dłymoko do krajiny zaryłej.
Pola tajkeje žony by so snadź tež na konopej lehnył.,Pla takeje žeńskeje by se snaź teke na zofu lagnuł.
Afriske słony maja wjetšej wuši hač aziske słony.,Afrikańske słony maju wětšej wušy nježli aziske słony.
Ze škałobow sćěnow žórleše so słódne čerwjene wino.,Z fugow sćěnow jo słodne cerwjene wino žrědliło.
K wšědnej dźěławosći słuša projektowy management.,K wšednej źěłabnosći słuša projektowy management.
"Kak móžu zhonić, kotru družinu w swojim basenku mam?","Kak mógu zgóniś, kótaru družynu mam w swójom basenku?"
"Sedźtej nětko změrom a čakatej na bus, dyrbju so zdrasćić!","Sejźtej něnto změrom a cakatej na bus, musym se zdrasćiś!"
"To maće nětko, tak je prawje, skakotaše čert po kófru.","To maśo něnt, tak jo pšawje, jo cart pó kofrje skokał."
Organizatorojo běchu wědomostnicy Instituta za nałožowanu linguistiku a translatologiju (IALT).,Organizatory su byli wědomnostniki Instituta za nałožowanu linguistiku a translatologiju (IALT).
"Požadajće so, wjeselimy so na Was!","Procujśo se wó městno, wjaselimy se na Was!"
"Wězo bych tež na Koslow hić móhł, myslach runje.","Se wě až mógał teke na Kózłow hyś, som rowno myslił."
Za mały woheń na swójskej ležownosći njetrjebaš dowolnosć.,Za mały wogeń na swójich gruntach njetrjebaš dowólnosć.
"Pěseń so hnydom přeměni do žortneho, wjesołeho spěwa.","Spiw jo se ned pśeměnił do luštnego, wjasołego spiwa."
Tež přijimowanske twarjenje nutřka dale wutwarjeja.,Teke pśiwześowe twarjenje nutśi dalej wutwariju.
Po tym dźěłaše 27 lět na šuli w Hamorje.,Pó tom jo źěłała 27 lět na šuli w Hamorje.
Zličbowanki so Wam přeco jako e-mejlka připósćelu.,Zliceńki se Wam pśecej ako mejlka pśipósćelu.
Tule maće zběrku serbskich bibliografijow.,How maśo zběrku serbskich bibliografijow.
Knjeni Wićazowu su na referentku powyšili.,Kněni Wićazowu su na referentku pówušyli.
Zajac womačowaše z nim stajnje zaso hubje małeje zaječicy.,Wuchac jo z nim wobchropował pśecej zasej gubje małeje wuchacoweje samice.
Milenka so k njej wobroći a pohladny zadwělowana na nju.,Milenka jo se k njej wobrośiła a jo na ju zacwiblowana póglědnuła.
"Hotowy tajki projekt ženje njeje, přetož dwurěčny korpus rosće.","Gótowy taki projekt nigdy njejo, pśeto dwójorěcny korpus rosćo."
"Skónčnje změjemy młódne trawički, čerstwe zela a prěnje kwětki.","Skóńcnje změjomy młode tšawy, fryšne zela a prědne kwětki."
Při zadychanju prudźi powětr přez nós abo hubu do płucow.,Pśi zadychanju tšuga pówětš pśez nos abo gubu do płucow.
A wot toho časa běch hižo pod policajskim dohladom.,A wót togo casa som stojał južo pód policajskim doglědom.
To běchu Krawcowe poslednje žiwjenske lěta.,To su byli Krawcowe slědne žywjeńske lěta.
"Hdyž leći łastojčka wysoko, njebudźe so dešćować.","Gaž jaskolicka leśi wusoko, njebuźo se padaś."
We wobłuku směrnicow prawomócnych powšitkownych postajenjow su přibrjóžne wuchodźowanišća zawrjene.,We wobłuku směrnicow pó pšawje płaśecych powšyknych póstajenjow su pśibrjozne promenady  zacynjone.
Na někotre aktiwity a dožiwjenja dopominaše předsyda Uwe Schuster.,Na někotare aktiwity a dožywjenja jo dopominał pśedsedaŕ Uwe Schuster.
Přiwšěm je tuta naprawa jenož jedna mjez mnohimi dalšimi móžnymi.,Weto jo toś ta napšawa jano jadna mjazy młogimi dalšnymi móžnymi.
Wotnětka skakaše a kjawčeše William přez bydlenje.,Wótněnta jo skokał a skjawlił William pśez bydlenje.
Serbski wotpowědnik je dźěl cyłkowneho mjena.,Serbski wótpowědnik jo źěl cełkownego mjenja.
70 požadarjow azyla wokrjes decentralnje zaměstnja.,70 póžedarjow wó azyl wokrejs decentralnje zaměstnijo.
Poslednje lěta bydleše we Warnoćicach w sewjernych Čechach.,Slědne lěta jo bydlił we Warnoćicach w pódpołnocnych Čechach.
To chcedźa z wjace zelenišćemi a spodobnymi přebywanskimi płoninami docpěć.,To kśě dojśpiś z wěcej zelenišćami a spódobnymi pśebywalnišćami.
W swojim přinošku chcu so měrić na Kamjenski wokrjes.,W swójom pśinosku com se měriś na kamjeński wokrejs.
Wo to ma so informaciski běrow łužiskeho rewěra starać.,Wó to ma se staraś informaciski běrow łužyskego rewěra.
Wonej słušatej tak k najlěpšim wobdźělnikam lětušeho wubědźowanja.,Wónej słušatej tak k nejlěpšym wobźělnikam lětosnego wuběźowanja.
"Najprjedy dyrbju wědźeć, hač staj mi poddanaj.","Nejpjerwjej musym wěźeś, lěc stej mě póddanej."
Njedotěrowane myta přepodachu w hrodźe Neuhardenberg.,Njedotěrowane myta pśepódali su na groźe Neuhardenberg.
Hižo jako dźěćo a młodostna pak staršich w pjekarni wobkedźbowaše.,Južo ako góle a młodostna pak jo starjejšeju w pjakaŕni wobglědowała.
